tier,title,slug,url,date,categories,word_count,comments,note
TIER 1 (crown jewel),Crontab - Quick Reference,crontab-quick-reference,https://adminschoice.com/crontab-quick-reference/,2009-12-20,"Basics, Featured, Linux, Tips",2400,116,116 approved comments — strongest engagement on site
TIER 1 (crown jewel),ssh Without Password in Few Simple Steps,how-to-configure-ssh-without-password,https://adminschoice.com/how-to-configure-ssh-without-password/,2021-04-30,"Basics, Featured, Security, Tips",889,19,19 approved comments — strongest engagement on site
TIER 2 (core reference),RefDesk,refdesk,https://adminschoice.com/refdesk/,2009-12-01,Basics,143,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Backup Commands in Linux & Unix with Usage and Examples,backup-commands-examples,https://adminschoice.com/backup-commands-examples/,2009-12-20,"Backup, Basics, Featured",1370,1,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),DNS Troubleshooting,dns-troubleshooting,https://adminschoice.com/dns-troubleshooting/,2009-12-20,"Basics, DNS, Featured, Tips",605,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Domain Name Service,domain-name-service,https://adminschoice.com/domain-name-service/,2009-12-20,DNS,2851,1,"Long-form DNS reference, evergreen"
TIER 2 (core reference),Unix Commands Tutorial,unix-commands-tutorial,https://adminschoice.com/unix-commands-tutorial/,2009-12-20,"Basics, Featured, Tips",1249,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Unix Tech Tips,unix-tech-tips,https://adminschoice.com/unix-tech-tips/,2009-12-20,"Basics, Tips",913,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Unix Tutorial - Learn Unix OS Basics to get started,unix-for-beginer,https://adminschoice.com/unix-for-beginer/,2009-12-20,"Basics, Featured",1879,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),vi editor Quick Reference & Cheat Sheet,vi-editor-quick-reference,https://adminschoice.com/vi-editor-quick-reference/,2009-12-20,"Basics, Featured",847,4,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Geek Speaks,geek-speaks,https://adminschoice.com/geek-speaks/,2009-12-29,Basics,605,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Php Date Format,php-date-format,https://adminschoice.com/php-date-format/,2010-02-05,"Basics, Tips",943,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Linux RPMs - All you need to know,linux-rpms-all-you-need-to-know,https://adminschoice.com/linux-rpms-all-you-need-to-know/,2011-04-28,Linux,599,0,Evergreen Linux/Unix/shell reference
